Título,Link,Data,Hora
"Ministério da Economia inicia regulamentação da nova Lei de Licitações","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/ministerio-da-economia-inicia-regulamentacao-da-nova-lei-de-licitacoes ",14/04/2021,11h57
"Consulta Pública – Nova Instrução Normativa de Pesquisa de Preços","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/consulta-publica-2013-nova-instrucao-normativa-de-pesquisa-de-precos ",13/04/2021,19h30
"CONVOCATÓRIA DA REDE NACIONAL DE COMPRAS PÚBLICAS","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/convocatoria-da-rede-nacional-de-compras-publicas ",13/04/2021,17h10
"Ministério da Economia lança painel Raio-X do Fornecedor da administração pública","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/ministerio-da-economia-lanca-painel-raio-x-do-fornecedor-da-administracao-publica ",12/04/2021,09h04
"Resultado Processo Seletivo - Equipe Gestão Central do SCDP","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/resultado-processo-seletivo-equipe-gestao-central-do-scdp ",07/04/2021,09h01
"Manutenção do Sistema Comprasnet","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/manutencao-do-sistema-comprasnet-1 ",06/04/2021,10h38
"Processo Seletivo SEGES DELOG – GSISTE E ASSESSORAMENTO – RESULTADO","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-2013-gsiste-e-asssessoramento-2013-resultado ",06/04/2021,10h03
"PGC: disponíveis novas funções de aspecto orçamentário","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/pgc-disponiveis-novas-funcoes-de-aspecto-orcamentario ",01/04/2021,10h40
"Contratos de prestação de serviços terceirizados – redução das atividades presenciais para enfrentamento da Covid-19","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/contratos-de-prestacao-de-servicos-terceirizados-2013-reducao-das-atividades-presenciais-para-enfrentamento-da-covid-19 ",29/03/2021,14h39
"Contrato descentralizado disponibilizado no Comprasnet Contratos!","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/contrato-descentralizado-disponibilizado-no-comprasnet-contratos ",25/03/2021,10h06
"Processo Seletivo SEGES DELOG - Inscrições prorrogadas até 28/03","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-inscricoes-prorrogadas-ate-28-03 ",24/03/2021,11h45
"Seleção de servidor para GSISTE NS para integrar equipe Gestão Central SCDP","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/selecao-de-servidor-para-gsiste-ns-para-integrar-equipe-gestao-central-scdp ",15/03/2021,15h35
"Processo Seletivo SEGES DELOG - Inscrições até 21/03","https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias/processo-seletivo-seges-delog-inscricoes-ate-21-03 ",15/03/2021,14h16
